"FurnisherName","Address","City","State","Zip","PhoneNumber","vextension","AccountCardType","vnote"
"AARONRENTS",null,null,null,null,null,null,null,null
"ABC NISSAN",null,null,null,null,null,null,null,null
"ABCO FCU",null,null,null,null,null,null,null,null
"ABCO FEDERAL CREDIT",null,null,null,null,null,null,null,null
"ABERDEEN CHR",null,null,null,null,null,null,null,null
"ABERDEEN FEDERAL CRE",null,null,null,null,null,null,null,null
"ABERDEEN PROVING GRO",null,null,null,null,null,null,null,null
"ABILITY RECOVERY SERVI",null,null,null,null,null,null,null,null
"ABNB FCU",null,null,null,null,null,null,null,null
"ABOUND CU",null,null,null,null,null,null,null,null
"ABOUND FCU",null,null,null,null,null,null,null,null
"ABOUND FEDERAL CREDIT",null,null,null,null,null,null,null,null
"ABOVE/CROSS RIVER BANK",null,null,null,null,null,null,null,null
"ABRI CREDIT UNION",null,null,null,null,null,null,null,null
"ABSOLUTE RESOLUTIONS I",null,null,null,null,null,null,null,null
"ACADEMY MORT",null,null,null,null,null,null,null,null
"ACADEMY MORTGAGE COR",null,null,null,null,null,null,null,null
"ACADEMY MORTGAGE CORPO",null,null,null,null,null,null,null,null
"ACB/BRAVERA BANK",null,null,null,null,null,null,null,null
"ACB/WESTERN COOPERATIV",null,null,null,null,null,null,null,null
"ACCELERATED RECIEVABLE",null,null,null,null,null,null,null,null
"ACCEPTANCE NOW",null,null,null,null,null,null,null,null
"ACCOUNT RESOLUTION COR",null,null,null,null,null,null,null,null
"ACCPTLOANCO",null,null,null,null,null,null,null,null
"ACCUDATA CREDIT SYSTEM",null,null,null,null,null,null,null,null
"ACCURATE FINANCIAL SER",null,null,null,null,null,null,null,null
"ACHIEVA CREDIT UNION",null,null,null,null,null,null,null,null
"ACHIEVE PERSONAL LOANS",null,null,null,null,null,null,null,null
"ACHIEVEPL/CRB",null,null,null,null,null,null,null,null
"ACHIEVEPL/PATHWARD",null,null,null,null,null,null,null,null
"ACIMA DIGITAL FKA SIMP",null,null,null,null,null,null,null,null
"ACRANET",null,null,null,null,null,null,null,null
"ACRANET, INC",null,null,null,null,null,null,null,null
"ACRANET-147",null,null,null,null,null,null,null,null
"ACRANET/PARAMOUNT RESI",null,null,null,null,null,null,null,null
"ACS/BOFA",null,null,null,null,null,null,null,null
"ACS/CITIZENS BANK OF",null,null,null,null,null,null,null,null
"ACS/COLLEGE LOAN COR",null,null,null,null,null,null,null,null
"ACS/GCO EDUCATION LO",null,null,null,null,null,null,null,null
"ACS/MHEAC",null,null,null,null,null,null,null,null
"ACS/NAVIENT",null,null,null,null,null,null,null,null
"ACS/NELNET",null,null,null,null,null,null,null,null
"ACS/PANHANDLE PLAINS",null,null,null,null,null,null,null,null
"ACS/SLMA",null,null,null,null,null,null,null,null
"ACS/STHEA",null,null,null,null,null,null,null,null
"ACS/SUNTRUST",null,null,null,null,null,null,null,null
"ACS/WELLS FARGO",null,null,null,null,null,null,null,null
"ACTION CREDI",null,null,null,null,null,null,null,null
"ACTION POWER",null,null,null,null,null,null,null,null
"ACTION POWERSPORTS",null,null,null,null,null,null,null,null
"ADDITION FINANCIAL CU",null,null,null,null,null,null,null,null
"ADDITION/MERIDIANLINK",null,null,null,null,null,null,null,null
"ADDITN FI CU",null,null,null,null,null,null,null,null
"ADMIN OFFICE OF THE CR",null,null,null,null,null,null,null,null
"ADMINISTRATION SERVICE",null,null,null,null,null,null,null,null
"ADP/AUTOWEST ROSEVILLE",null,null,null,null,null,null,null,null
"ADS/COMENITY/WESTGATE","","","","","","","",""
"ADS/COMENITY/WYNDHAM","","","","","","","",""
"ADV CREDIT",null,null,null,null,null,null,null,null
"ADV CREDIT/NEXT DOOR L",null,null,null,null,null,null,null,null
"ADV CREDIT/PRIMELENDIN",null,null,null,null,null,null,null,null
"ADV. FIN./GRAND PACIFI",null,null,null,null,null,null,null,null
"ADVANCIAL FCU",null,null,null,null,null,null,null,null
"ADVANTAGE",null,null,null,null,null,null,null,null
"ADVANTAGE BM",null,null,null,null,null,null,null,null
"ADVANTAGE BMW MIDTOW",null,null,null,null,null,null,null,null
"ADVANTAGE CREDIT",null,null,null,null,null,null,null,null
"ADVANTAGE CREDIT INC",null,null,null,null,null,null,null,null
"ADVANTAGE CREDIT, INC.",null,null,null,null,null,null,null,null
"ADVANTAGE CREDIT,INC",null,null,null,null,null,null,null,null
"ADVANTAGE CREDIT/E MOR",null,null,null,null,null,null,null,null
"ADVANTAGE CREDIT/F5 MO",null,null,null,null,null,null,null,null
"ADVANTAGE CREDIT/FCF",null,null,null,null,null,null,null,null
"ADVANTAGE FCU",null,null,null,null,null,null,null,null
"ADVANTAGE PLUS",null,null,null,null,null,null,null,null
"ADVANTAGE PO",null,null,null,null,null,null,null,null
